ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,JOBS_1000
AL,Alabama,21-1022,Healthcare Social Workers,detailed,"2,140",1.136
AL,Alabama,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"1,370",0.729
AL,Alabama,21-1029,"Social Workers, All Other",detailed,320,0.169
AL,Alabama,21-1091,Health Educators,detailed,290,0.156
AL,Alabama,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,970,0.517
AL,Alabama,21-1093,Social and Human Service Assistants,detailed,"1,360",0.725
AL,Alabama,21-1094,Community Health Workers,detailed,520,0.276
AL,Alabama,21-1099,"Community and Social Service Specialists, All Other",detailed,100,0.054
AL,Alabama,21-2011,Clergy,detailed,400,0.214
AL,Alabama,21-2021,"Directors, Religious Activities and Education",detailed,50,0.028
AL,Alabama,21-2099,"Religious Workers, All Other",detailed,50,0.025
AL,Alabama,23-0000,Legal Occupations,major,"9,690",5.148
AL,Alabama,23-1011,Lawyers,detailed,"5,240",2.780
AL,Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,100,0.053
AL,Alabama,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,40,0.019
AL,Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,540,0.288
AL,Alabama,23-2011,Paralegals and Legal Assistants,detailed,"2,860",1.520
AL,Alabama,23-2091,Court Reporters,detailed,350,0.186
AL,Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,300,0.159
AL,Alabama,23-2099,"Legal Support Workers, All Other",detailed,250,0.132
AL,Alabama,25-0000,"Education, Training, and Library Occupations",major,"108,240",57.474
AL,Alabama,25-1011,"Business Teachers, Postsecondary",detailed,"1,330",0.706
AL,Alabama,25-1021,"Computer Science Teachers, Postsecondary",detailed,340,0.183
AL,Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,780,0.416
AL,Alabama,25-1031,"Architecture Teachers, Postsecondary",detailed,100,0.053
AL,Alabama,25-1032,"Engineering Teachers, Postsecondary",detailed,620,0.330
AL,Alabama,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,230,0.125
AL,Alabama,25-1042,"Biological Science Teachers, Postsecondary",detailed,800,0.423
AL,Alabama,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,50,0.024
AL,Alabama,25-1052,"Chemistry Teachers, Postsecondary",detailed,290,0.152
AL,Alabama,25-1053,"Environmental Science Teachers, Postsecondary",detailed,60,0.033
AL,Alabama,25-1054,"Physics Teachers, Postsecondary",detailed,180,0.095
AL,Alabama,25-1063,"Economics Teachers, Postsecondary",detailed,140,0.076
AL,Alabama,25-1064,"Geography Teachers, Postsecondary",detailed,60,0.032
AL,Alabama,25-1065,"Political Science Teachers, Postsecondary",detailed,180,0.098
AL,Alabama,25-1066,"Psychology Teachers, Postsecondary",detailed,440,0.234
AL,Alabama,25-1067,"Sociology Teachers, Postsecondary",detailed,140,0.074
AL,Alabama,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"1,430",0.760
AL,Alabama,25-1081,"Education Teachers, Postsecondary",detailed,810,0.431
AL,Alabama,25-1082,"Library Science Teachers, Postsecondary",detailed,190,0.101
AL,Alabama,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,150,0.078
AL,Alabama,25-1112,"Law Teachers, Postsecondary",detailed,180,0.095
AL,Alabama,25-1113,"Social Work Teachers, Postsecondary",detailed,100,0.051
AL,Alabama,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,730,0.389
AL,Alabama,25-1122,"Communications Teachers, Postsecondary",detailed,340,0.180
AL,Alabama,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,990,0.528
AL,Alabama,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,200,0.106
AL,Alabama,25-1125,"History Teachers, Postsecondary",detailed,350,0.187
AL,Alabama,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,250,0.132
AL,Alabama,25-1191,Graduate Teaching Assistants,detailed,60,0.033
AL,Alabama,25-1192,"Home Economics Teachers, Postsecondary",detailed,180,0.098
AL,Alabama,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,220,0.119
AL,Alabama,25-1194,"Vocational Education Teachers, Postsecondary",detailed,"2,300",1.219
AL,Alabama,25-1199,"Postsecondary Teachers, All Other",detailed,"3,150",1.672
AL,Alabama,25-2011,"Preschool Teachers, Except Special Education",detailed,"1,960",1.040
AL,Alabama,25-2012,"Kindergarten Teachers, Except Special Education",detailed,"1,670",0.885
AL,Alabama,25-2021,"Elementary School Teachers, Except Special Education",detailed,"23,800",12.639
AL,Alabama,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"9,850",5.232
AL,Alabama,25-2023,"Career/Technical Education Teachers, Middle School",detailed,100,0.053
AL,Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"12,720",6.755
AL,Alabama,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,730,0.388
AL,Alabama,25-2051,"Special Education Teachers, Preschool",detailed,80,0.042
AL,Alabama,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,430",0.760
AL,Alabama,25-2053,"Special Education Teachers, Middle School",detailed,570,0.300
AL,Alabama,25-2054,"Special Education Teachers, Secondary School",detailed,880,0.466
AL,Alabama,25-2059,"Special Education Teachers, All Other",detailed,40,0.022
AL,Alabama,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,640,0.338
AL,Alabama,25-3021,Self-Enrichment Education Teachers,detailed,"2,280",1.209
AL,Alabama,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"3,030",1.611
AL,Alabama,25-3098,Substitute Teachers,detailed,"14,790",7.852
AL,Alabama,25-4011,Archivists,detailed,50,0.028
AL,Alabama,25-4012,Curators,detailed,130,0.068
AL,Alabama,25-4013,Museum Technicians and Conservators,detailed,50,0.028
AL,Alabama,25-4021,Librarians,detailed,"2,030",1.079
AL,Alabama,25-4031,Library Technicians,detailed,"1,160",0.614
AL,Alabama,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,**,**
AL,Alabama,25-9021,Farm and Home Management Advisors,detailed,380,0.204
AL,Alabama,25-9031,Instructional Coordinators,detailed,"1,140",0.606
AL,Alabama,25-9041,Teacher Assistants,detailed,"7,850",4.170
AL,Alabama,25-9099,"Education, Training, and Library Workers, All Other",detailed,420,0.225
AL,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"16,260",8.633
AL,Alabama,27-1011,Art Directors,detailed,250,0.131
AL,Alabama,27-1012,Craft Artists,detailed,110,0.057
AL,Alabama,27-1014,Multimedia Artists and Animators,detailed,140,0.076
AL,Alabama,27-1019,"Artists and Related Workers, All Other",detailed,50,0.027
AL,Alabama,27-1021,Commercial and Industrial Designers,detailed,220,0.119
AL,Alabama,27-1023,Floral Designers,detailed,720,0.383
AL,Alabama,27-1024,Graphic Designers,detailed,"1,540",0.820
AL,Alabama,27-1025,Interior Designers,detailed,340,0.182
AL,Alabama,27-1026,Merchandise Displayers and Window Trimmers,detailed,"2,040",1.081
AL,Alabama,27-2012,Producers and Directors,detailed,540,0.288
AL,Alabama,27-2022,Coaches and Scouts,detailed,"3,010",1.599
AL,Alabama,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,80,0.043
AL,Alabama,27-2041,Music Directors and Composers,detailed,100,0.054
AL,Alabama,27-2042,Musicians and Singers,detailed,150,0.081
AL,Alabama,27-3011,Radio and Television Announcers,detailed,330,0.175
AL,Alabama,27-3012,Public Address System and Other Announcers,detailed,50,0.029
AL,Alabama,27-3021,Broadcast News Analysts,detailed,160,0.085
AL,Alabama,27-3022,Reporters and Correspondents,detailed,510,0.271
AL,Alabama,27-3031,Public Relations Specialists,detailed,"1,980",1.051
AL,Alabama,27-3041,Editors,detailed,560,0.295
AL,Alabama,27-3042,Technical Writers,detailed,660,0.352
AL,Alabama,27-3043,Writers and Authors,detailed,190,0.099
AL,Alabama,27-3091,Interpreters and Translators,detailed,170,0.088
AL,Alabama,27-4011,Audio and Video Equipment Technicians,detailed,670,0.357
AL,Alabama,27-4012,Broadcast Technicians,detailed,370,0.196
AL,Alabama,27-4014,Sound Engineering Technicians,detailed,60,0.029
AL,Alabama,27-4021,Photographers,detailed,550,0.292
AL,Alabama,27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,260,0.139
AL,Alabama,27-4032,Film and Video Editors,detailed,140,0.073
AL,Alabama,27-4099,"Media and Communication Equipment Workers, All Other",detailed,110,0.057
AL,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"122,780",65.193
AL,Alabama,29-1011,Chiropractors,detailed,230,0.122
AL,Alabama,29-1021,"Dentists, General",detailed,980,0.518
AL,Alabama,29-1022,Oral and Maxillofacial Surgeons,detailed,**,**
AL,Alabama,29-1023,Orthodontists,detailed,120,0.064
AL,Alabama,29-1031,Dietitians and Nutritionists,detailed,890,0.472
AL,Alabama,29-1041,Optometrists,detailed,410,0.216
AL,Alabama,29-1051,Pharmacists,detailed,"5,330",2.829
AL,Alabama,29-1061,Anesthesiologists,detailed,710,0.377
AL,Alabama,29-1062,Family and General Practitioners,detailed,600,0.321
AL,Alabama,29-1063,"Internists, General",detailed,470,0.250
AL,Alabama,29-1064,Obstetricians and Gynecologists,detailed,180,0.095
AL,Alabama,29-1065,"Pediatricians, General",detailed,460,0.244
AL,Alabama,29-1066,Psychiatrists,detailed,440,0.231
AL,Alabama,29-1067,Surgeons,detailed,220,0.116
AL,Alabama,29-1069,"Physicians and Surgeons, All Other",detailed,"5,300",2.816
AL,Alabama,29-1071,Physician Assistants,detailed,520,0.276
AL,Alabama,29-1081,Podiatrists,detailed,90,0.047
AL,Alabama,29-1122,Occupational Therapists,detailed,"1,170",0.620
AL,Alabama,29-1123,Physical Therapists,detailed,"2,050",1.090
AL,Alabama,29-1124,Radiation Therapists,detailed,350,0.187
AL,Alabama,29-1125,Recreational Therapists,detailed,150,0.080
AL,Alabama,29-1126,Respiratory Therapists,detailed,"2,170",1.152
AL,Alabama,29-1127,Speech-Language Pathologists,detailed,"1,460",0.774
AL,Alabama,29-1128,Exercise Physiologists,detailed,60,0.030
AL,Alabama,29-1131,Veterinarians,detailed,860,0.457
AL,Alabama,29-1141,Registered Nurses,detailed,"44,000",23.365
AL,Alabama,29-1151,Nurse Anesthetists,detailed,"1,610",0.857
AL,Alabama,29-1171,Nurse Practitioners,detailed,"2,020",1.070
AL,Alabama,29-1181,Audiologists,detailed,150,0.079
AL,Alabama,29-2011,Medical and Clinical Laboratory Technologists,detailed,"2,380",1.263
AL,Alabama,29-2012,Medical and Clinical Laboratory Technicians,detailed,"2,050",1.091
AL,Alabama,29-2021,Dental Hygienists,detailed,"3,040",1.616
AL,Alabama,29-2031,Cardiovascular Technologists and Technicians,detailed,650,0.345
AL,Alabama,29-2032,Diagnostic Medical Sonographers,detailed,"1,010",0.538
AL,Alabama,29-2033,Nuclear Medicine Technologists,detailed,330,0.173
AL,Alabama,29-2034,Radiologic Technologists,detailed,"3,290",1.749
AL,Alabama,29-2035,Magnetic Resonance Imaging Technologists,detailed,510,0.271
AL,Alabama,29-2041,Emergency Medical Technicians and Paramedics,detailed,"3,610",1.916
AL,Alabama,29-2051,Dietetic Technicians,detailed,100,0.052
AL,Alabama,29-2052,Pharmacy Technicians,detailed,"7,350",3.901
AL,Alabama,29-2053,Psychiatric Technicians,detailed,"1,040",0.554
AL,Alabama,29-2054,Respiratory Therapy Technicians,detailed,330,0.177
AL,Alabama,29-2055,Surgical Technologists,detailed,"1,680",0.894
AL,Alabama,29-2056,Veterinary Technologists and Technicians,detailed,910,0.482
AL,Alabama,29-2057,Ophthalmic Medical Technicians,detailed,380,0.201
AL,Alabama,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,"14,200",7.538
AL,Alabama,29-2071,Medical Records and Health Information Technicians,detailed,"2,650",1.405
AL,Alabama,29-2081,"Opticians, Dispensing",detailed,"1,080",0.572
AL,Alabama,29-2091,Orthotists and Prosthetists,detailed,120,0.062
AL,Alabama,29-2092,Hearing Aid Specialists,detailed,30,0.017
AL,Alabama,29-2099,"Health Technologists and Technicians, All Other",detailed,640,0.338
AL,Alabama,29-9011,Occupational Health and Safety Specialists,detailed,950,0.502
AL,Alabama,29-9012,Occupational Health and Safety Technicians,detailed,110,0.057
AL,Alabama,29-9091,Athletic Trainers,detailed,450,0.236
AL,Alabama,29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,700,0.370
AL,Alabama,31-0000,Healthcare Support Occupations,major,"50,410",26.767
AL,Alabama,31-1011,Home Health Aides,detailed,"4,860",2.581
AL,Alabama,31-1013,Psychiatric Aides,detailed,"1,700",0.901
AL,Alabama,31-1014,Nursing Assistants,detailed,"22,740",12.073
AL,Alabama,31-1015,Orderlies,detailed,670,0.354
AL,Alabama,31-2011,Occupational Therapy Assistants,detailed,500,0.267
AL,Alabama,31-2012,Occupational Therapy Aides,detailed,120,0.066
AL,Alabama,31-2021,Physical Therapist Assistants,detailed,"1,860",0.988
AL,Alabama,31-2022,Physical Therapist Aides,detailed,610,0.326
AL,Alabama,31-9011,Massage Therapists,detailed,340,0.178
AL,Alabama,31-9091,Dental Assistants,detailed,"3,410",1.812
AL,Alabama,31-9092,Medical Assistants,detailed,"6,660",3.536
AL,Alabama,31-9093,Medical Equipment Preparers,detailed,"1,180",0.625
AL,Alabama,31-9094,Medical Transcriptionists,detailed,850,0.449
AL,Alabama,31-9095,Pharmacy Aides,detailed,540,0.287
AL,Alabama,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,"1,150",0.613
AL,Alabama,31-9097,Phlebotomists,detailed,"2,140",1.138
AL,Alabama,31-9099,"Healthcare Support Workers, All Other",detailed,"1,080",0.572
AL,Alabama,33-0000,Protective Service Occupations,major,"42,380",22.505
AL,Alabama,33-1011,First-Line Supervisors of Correctional Officers,detailed,400,0.213
AL,Alabama,33-1012,First-Line Supervisors of Police and Detectives,detailed,"1,200",0.635
AL,Alabama,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"1,070",0.567
AL,Alabama,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,850,0.449
AL,Alabama,33-2011,Firefighters,detailed,"4,950",2.627
AL,Alabama,33-2021,Fire Inspectors and Investigators,detailed,130,0.070
AL,Alabama,33-2022,Forest Fire Inspectors and Prevention Specialists,detailed,40,0.024
AL,Alabama,33-3011,Bailiffs,detailed,90,0.045
AL,Alabama,33-3012,Correctional Officers and Jailers,detailed,"5,400",2.866
AL,Alabama,33-3021,Detectives and Criminal Investigators,detailed,"1,200",0.638
AL,Alabama,33-3031,Fish and Game Wardens,detailed,200,0.107
AL,Alabama,33-3041,Parking Enforcement Workers,detailed,80,0.044
AL,Alabama,33-3051,Police and Sheriff's Patrol Officers,detailed,"10,440",5.542
AL,Alabama,33-9011,Animal Control Workers,detailed,220,0.117
AL,Alabama,33-9021,Private Detectives and Investigators,detailed,190,0.103
AL,Alabama,33-9032,Security Guards,detailed,"12,730",6.761
AL,Alabama,33-9091,Crossing Guards,detailed,520,0.274
AL,Alabama,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"1,160",0.613
AL,Alabama,33-9093,Transportation Security Screeners,detailed,250,0.134
AL,Alabama,33-9099,"Protective Service Workers, All Other",detailed,"1,210",0.640
AL,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,"162,060",86.051
AL,Alabama,35-1011,Chefs and Head Cooks,detailed,660,0.352
AL,Alabama,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"15,410",8.183
AL,Alabama,35-2011,"Cooks, Fast Food",detailed,"8,550",4.539
AL,Alabama,35-2012,"Cooks, Institution and Cafeteria",detailed,"9,680",5.142
AL,Alabama,35-2014,"Cooks, Restaurant",detailed,"15,320",8.136
AL,Alabama,35-2015,"Cooks, Short Order",detailed,"2,860",1.520
AL,Alabama,35-2019,"Cooks, All Other",detailed,390,0.207
AL,Alabama,35-2021,Food Preparation Workers,detailed,"9,990",5.307
AL,Alabama,35-3011,Bartenders,detailed,"3,270",1.737
AL,Alabama,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"47,280",25.104
AL,Alabama,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"4,260",2.259
AL,Alabama,35-3031,Waiters and Waitresses,detailed,"30,150",16.009
AL,Alabama,35-3041,"Food Servers, Nonrestaurant",detailed,"1,650",0.878
